,,,,,,,,,,,,
,,,, ,Glossary,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
, ,Ref,,,Performances,Lex 6,Lex 5,Lex 4,Lex 3,Lex 2,Lex 1,
,,Deu 3:25,,,בְּעֵ֣בֶר הַיַּרְדֵּ֑ן,,,,,יַרְדֵּן,עֵבֶר,105
,,Deu 3:27,,,ראש הפסגה,,,,,פִּסְגָּה,רֹאש,106
,?,Deu 3:29,,,בֵּ֥ית פְּעֹֽור,,,,,פְּעוֹר,בַּיִת ,107
,,Deu 4:1 ,,,אלהי אבתיכם,,,,,אָב,אֱלֹהִים,108
,,Deu 4:2,,,מצות יהוה אלהיכם,,,, ,יְהֹוָה,מִצְוָה,109
,,Deu 4:6,,,לעיני העמים,,,,,עַם,עַיִן,110
,,Deu 4:9,,,כל ימי חייך,,,,,חַיִּים,יוֹם ,111
,,Deu 4:9,,,ולבני בניך,,,,,בֵּן ,בֵּן,112
,,Deu 4:11,,,לֵ֣ב הַשָּׁמַ֔יִם,,,,,שָמַיִם,לֵב ,113
,,Deu 4:12,,,קול דברים,,,,,דָּבָר,קוֹל,114
,,Deu 4:13,,,לחות אבנים,,,,,אֶבֶן,לוּחַ,115
,,Deu 4:16,,,תמונת כל סמל ,,,,,סֶמֶל,תְּמוּנָה,114
,,Deu 4:16,,,תבנית זכר או נקבה,,,,נְקֵבָה,זָכָר,תַּבְנִית,115
,,Deu 4:17,,,תבנית כל בהמה,,,,,בְּהֵמָה,תַּבְנִית,116
,,Deu 4:17,,,תבנית כל צפור כנף,,,,כָּנָף,צִפּוֹר,תַּבְנִית,117
,,Deu 4:18,,,תבנית כל רמש,,,,,רֶמֶש,תַּבְנִית,118
,,Deu 4:18,,,תבנית כל דגה,,,,,דָּגָה,תַּבְנִית,119
,,Deu 4:19,,,כל צבא השמים,,,,,שָמַיִם,צָבָא ,120
,,Deu 4:20,,,מכור הברזל,,,,,בַּרְזֵל,כּוּר,121
,,Deu 4:20,,,לעם נחלה,,,,,נַחֲלָה,עַם,122
,,Deu 4:23,,,ברית יהוה אלהיכם,,,, ,יְהֹוָה,בְּרִית ,123
,,Deu 4:25,,,ובני בנים,,,,,בֵּן ,בֵּן ,124
,,Deu 4:25,,,תמונת כל,,,,,כֹּל,תְּמוּנָה,125
,,Deu 4:25,,,בעיני יהוה אלהיך,,,, ,יְהֹוָה,עַיִן,126
,,Deu 4:27,,,מְתֵ֣י מִסְפָּ֔ר,,,,,מִסְפָּר,מְתִים,127
,,Deu 4:28,,,מעשה ידי אדם ,,,,אָדָם,יָד ,מַעֲשֶה ,128
