vectorizer,dasgupta_score,dasgupta_score_rand,max_dist_metric_mean,cv
onlplab/alephbert-base,0.6621606748320096,0.3225029110048803,0.04553221991777285,6
dicta-il/dictabert-tiny,0.6175098654361908,0.332559538988576,0.04129262460285122,6
dicta-il/dictabert-large,0.6323640208957625,0.3424279467262496,0.04608193174975793,6
dicta-il/dictabert,0.6492098918482418,0.34162649277544593,0.0496917901162528,6
tfidf,0.7175901400786087,0.3417172297757683,0.03987275077206562,6
trigram,0.6298300978686945,0.3459757971700851,0.0362873676199017,6
starr,0.46756580156464644,0.32871316718680227,0.01721285578832023,6
dicta-il/BEREL,0.674040097660652,0.3271713128058581,0.044061261847829776,7
onlplab/alephbert-base,0.6310366419593495,0.3273693151076769,0.04640558623262435,7
dicta-il/dictabert-tiny,0.6237783793124496,0.3379332607437332,0.03655759850424975,7
dicta-il/dictabert-large,0.6350362104368987,0.3245156533131485,0.042491979654625214,7
dicta-il/dictabert,0.6391674806208757,0.33524083421371825,0.04195733397660523,7
tfidf,0.6153134162786229,0.3347267703159807,0.050247846270047754,7
trigram,0.5549079432857011,0.34194187974682694,0.04055447832985966,7
starr,0.4792153989629342,0.3240865921071629,0.02077994801920003,7
dicta-il/BEREL,0.6667440247250209,0.32758620689655177,0.038373779047194564,8
onlplab/alephbert-base,0.6611557544630816,0.3291260374038829,0.0423781796288564,8
dicta-il/dictabert-tiny,0.5642257114830104,0.339412712354939,0.03137798934384632,8
dicta-il/dictabert-large,0.6948398117490825,0.333852456915104,0.048906513192994105,8
dicta-il/dictabert,0.6562909717306934,0.3400873368926524,0.04009093587431169,8
tfidf,0.6812617076225629,0.3275325742458035,0.03886143182081956,8
trigram,0.563435966529065,0.33841190685324085,0.03464240104478448,8
starr,0.46157641735797394,0.34277537836317207,0.022184517544729453,8
dicta-il/BEREL,0.684470631438375,0.31696053311529465,0.050517202350356775,9
onlplab/alephbert-base,0.5859044740068846,0.320614974236089,0.048759789673192416,9
dicta-il/dictabert-tiny,0.5419686857485194,0.3370208310564756,0.03379158900424256,9
dicta-il/dictabert-large,0.6668286674544261,0.3356358268805498,0.042561282010373666,9
dicta-il/dictabert,0.6831679368014246,0.3191230420709355,0.04629381701242456,9
tfidf,0.6292533525611315,0.33488631901914984,0.041007642973510755,9
trigram,0.5690725805123285,0.3377059122745237,0.05575738291749565,9
starr,0.488884370103436,0.3437282855226924,0.019113937374231303,9
