node_name,regen,rectum,regen/total
פָּנֶה,12,9,0.5714285714285714
מַצָּה,0,1,0.0
מַתָּנָה,1,0,1.0
צֶדֶק,2,12,0.14285714285714285
חָכָם,1,8,0.1111111111111111
צַדִּיק,0,27,0.0
מִזְבֵּח,3,0,1.0
תוֹעֵבָה,1,0,1.0
רִיב,2,2,0.5
כִּסֵא,1,0,1.0
מִשְנֶה,1,0,1.0
תּוֹרָה,6,6,0.5
כֹּהֵן,0,1,0.0
גֵּז,0,1,0.0
גּוֹי,1,5,0.16666666666666666
דָּבָר,1,0,1.0
רֹצֵחַ,0,1,0.0
גּאֵל,1,0,1.0
מָוֶת,1,12,0.07692307692307693
זָקֵן,5,4,0.5555555555555556
גֹּאֵל,0,1,0.0
נָקִי,1,1,0.5
חָמָס,1,6,0.14285714285714285
שֶקֶר,0,11,0.0
רַךְ,1,1,0.5
אֹיֵב,2,9,0.18181818181818182
מַאֲכָל,0,2,0.0
עֶגְלָה,1,0,1.0
יָפֶה,1,1,0.5
תֹּאַר,0,1,0.0
שִמְלָה,2,0,1.0
שֶבִי,0,1,0.0
יֶרַח,1,1,0.5
אָהוּב,0,1,0.0
שָנוּא,0,1,0.0
אוֹן,0,2,0.0
שַעַר,2,1,0.6666666666666666
מָקוֹם,5,1,0.8333333333333334
חֵטְא,2,2,0.5
קְלָלָה,2,0,1.0
אֲבֵדָה,1,0,1.0
חֲמוֹר,1,0,1.0
גֶּבֶר,1,6,0.14285714285714285
קֵן,1,0,1.0
כֶּרֶם,2,1,0.6666666666666666
כְּסוּת,0,1,0.0
עֲלִילָה,2,0,1.0
נַעַר,0,3,0.0
בְּתוּלִים,2,0,1.0
דָבָר,3,1,0.75
בָּתוּל,1,0,1.0
פֶּתַח,5,2,0.7142857142857143
בָּעוּל,1,0,1.0
בַּעַל,0,2,0.0
פָּצוּעַ,1,0,1.0
דּכָּא,0,1,0.0
כָּרוּת,1,0,1.0
שָפְכָה,0,1,0.0
קָהָל,6,1,0.8571428571428571
בְּעוֹר,0,1,0.0
קָרֶה,1,0,1.0
לַיְלָה,0,3,0.0
עֶרְוָה,1,0,1.0
אֶתְנַן,1,0,1.0
זֹנָה,0,2,0.0
מְחִיר,2,0,1.0
כֶּלֶב,0,4,0.0
נֶשֶךְ,3,0,1.0
כֶּסֶף,1,5,0.16666666666666666
אֹכֶל,0,1,0.0
קָמָה,1,0,1.0
סֵפֶר,2,1,0.6666666666666666
כְּרִיתוּת,0,1,0.0
נֶגַע,1,0,1.0
צָרַעַת,0,1,0.0
מַשָּאָה,1,0,1.0
מְאוּמָה,0,1,0.0
גֵּר,0,1,0.0
בֶּגֶד,1,1,0.5
הַכּוֹת,0,1,0.0
מֵת,1,1,0.5
חֲלוּץ,0,1,0.0
נַעַל,0,1,0.0
אֶחָד,0,1,0.0
מַכֵּה,5,1,0.8333333333333334
עֹשֵה,8,0,1.0
עָוֶל,0,2,0.0
זֵכֶר,6,0,1.0
עֲמָלֵק,0,1,0.0
מְעַט,0,1,0.0
מָעוֹן,2,0,1.0
קֹדֶש,1,16,0.058823529411764705
חָרָש,0,1,0.0
אִשָּה,1,0,1.0
מַעֲלָל,2,2,0.5
שְחִין,1,0,1.0
תִּמָּהוֹן,1,0,1.0
אֵל,14,12,0.5384615384615384
מַרְאֶה,1,0,1.0
טוֹב,2,5,0.2857142857142857
רַב,9,3,0.75
חֹסֶר,1,0,1.0
עֹל,1,0,1.0
עֹז,3,12,0.2
בָּשָר,4,2,0.6666666666666666
חָסֵר,4,1,0.8
גָּדוֹל,1,2,0.3333333333333333
נֶאֱמָן,1,1,0.5
מַּכֵּה,1,0,1.0
כִּלָּיוֹן,1,0,1.0
דֵּאָבון,1,0,1.0
פַּחַד,3,0,1.0
מְנַשִּי,0,1,0.0
חֹטֵב,1,0,1.0
שֹאֵב,1,0,1.0
אָלָה,1,1,0.5
שְרִרוּת,1,0,1.0
מַהֲפֵּכָה,2,0,1.0
סְדֹם,0,2,0.0
עֲמֹרָה,0,2,0.0
חֳרִי,1,0,1.0
אֹרֶךְ,2,0,1.0
עֶשְרִים,0,1,0.0
אָרוֹן,3,0,1.0
מֹעֵד,2,0,1.0
אֹהֶל,4,2,0.6666666666666666
מוֹעֵד,1,1,0.5
עַמּוּד,1,0,1.0
עָנָן,0,1,0.0
נֵכָר,0,5,0.0
נֹשֵא,3,0,1.0
אֹזֶן,6,1,0.8571428571428571
שִירָה,0,1,0.0
אֵמֶר,6,2,0.75
אֱמוּנָה,0,5,0.0
דוֹר,3,3,0.5
חֵלֶק,1,2,0.3333333333333333
אִישוֹן,4,0,1.0
בָּמָה,1,0,1.0
תְּנוּבָה,1,0,1.0
חַלָּמִיש,1,0,1.0
צוּר,6,1,0.8571428571428571
חֶמְאָה,1,0,1.0
כַּר,0,2,0.0
כִּלְיָה,0,1,0.0
עֵנָב,1,1,0.5
יְשוּעָה,5,7,0.4166666666666667
כַּעַס,4,1,0.8
דּוֹר,3,0,1.0
תַּהֲפּוּכָה,0,4,0.0
מוֹסָד,4,0,1.0
מָזֶה,1,0,1.0
רַָעַָב,0,1,0.0
רֶשֶף,1,1,0.5
שֵן,2,1,0.6666666666666666
חֵמָה,8,4,0.6666666666666666
זַחַל,0,1,0.0
עָפָר,1,3,0.25
שֵיבָה,1,1,0.5
אֹבֵד,1,0,1.0
עֵצָה,6,2,0.75
שְדֵמָה,1,0,1.0
אֶשְכּוֹל,1,0,1.0
מְרֹרָה,0,1,0.0
תַּנִין,0,1,0.0
פֶּתֶן,0,1,0.0
אֵיד,0,1,0.0
יַיִן,2,0,1.0
נָסִיךְ,0,1,0.0
בָּרָק,1,0,1.0
חֶרֶב,2,3,0.4
חָלָל,0,2,0.0
פֶּרַע,0,1,0.0
עֲבָרִים,0,1,0.0
נְבוֹ,0,1,0.0
כְּנָעָן,0,2,0.0
מְרִיבָה,0,1,0.0
קָדֵש,0,1,0.0
צִן,0,1,0.0
פָארָן,0,1,0.0
רְבָבָה,1,0,1.0
קְהִלָּה,1,0,1.0
יַעֲקֹב,0,13,0.0
יְהוּדָה,0,8,0.0
פֹּעַל,4,0,1.0
יָדִיד,1,0,1.0
מְבֹרָךְ,1,0,1.0
מֶגֶד,8,0,1.0
גֶּרֶש,0,1,0.0
קֶדֶם,2,4,0.3333333333333333
גִּבְעָה,0,2,0.0
רָצוֹן,4,2,0.6666666666666666
שֹכֵן,0,1,0.0
סְנֶה,0,1,0.0
יוֹסֵף,0,2,0.0
קֹדְקֹד,3,0,1.0
נָזִיר,0,1,0.0
קֶרֶן,5,0,1.0
רְאֵם,0,2,0.0
אֶפֶס,3,0,1.0
שֶפַע,1,0,1.0
שָפוּן,2,0,1.0
טָמוּן,0,1,0.0
חוֹל,1,2,0.3333333333333333
מַרְחִיב,1,0,1.0
גָּד,0,1,0.0
חֶלְקָה,3,0,1.0
מְחֹקֵק,0,1,0.0
צְדָקָה,3,2,0.6
גוּר,1,0,1.0
אַרְיֵה,0,2,0.0
שָבֵעַ,1,0,1.0
רָצוּי,1,0,1.0
זְרוֹעַ,3,1,0.75
מָגֵן,3,0,1.0
עֵזֶר,0,1,0.0
גַּאֲוָה,1,3,0.25
אֶפְרַיִם,0,2,0.0
בִּקְעָה,1,0,1.0
יְרִיחוֹ,0,1,0.0
תָּמָר,0,1,0.0
מואָב,0,1,0.0
בְּכִי,0,1,0.0
אֵבֶל,0,1,0.0
מֹשֶה,0,2,0.0
רוּחַ,10,8,0.5555555555555556
חָכְמָה,2,6,0.25
מָשָל,1,0,1.0
שְלֹמֹה,0,1,0.0
דָּוִד,0,2,0.0
בִּינָה,1,2,0.3333333333333333
הַשְכֵּל,0,2,0.0
יִרְאָה,1,0,1.0
דַּעַת,3,5,0.375
לִוְיָה,1,0,1.0
חֵן,1,4,0.2
שְאוֹל,1,5,0.16666666666666666
יֹרֵד,4,0,1.0
בּוֹר,1,1,0.5
אֹרַח,13,0,1.0
בֹּצֵעַ,0,1,0.0
בָּעָל,5,5,0.5
מְשוּבָה,1,0,1.0
פֶּתִי,0,2,0.0
שַלְוָה,1,0,1.0
כְּסִיל,1,11,0.08333333333333333
רָעָה,1,10,0.09090909090909091
הֹלֵךְ,1,0,1.0
תֹּם,2,1,0.6666666666666666
חָסִיד,0,3,0.0
מַעֲגָל,4,0,1.0
יֹשֶר,0,2,0.0
חֹשֵךְ,0,1,0.0
תַּהְפוּכָה,1,0,1.0
רַע,1,11,0.08333333333333333
אַלּוּף,1,0,1.0
נְעוּרִים,0,4,0.0
מִסְחָר,1,0,1.0
נֹעַם,1,2,0.3333333333333333
שוֹאָה,1,0,1.0
רָשָע,1,41,0.023809523809523808
מְאֵרָה,1,1,0.5
נָוֶה,2,0,1.0
עֲטָרָה,5,0,1.0
תִּפְאֶרֶת,3,1,0.75
רֶשַע,0,3,0.0
יַיִּן,1,1,0.5
אוֹר,7,2,0.7777777777777778
נֹגַהּ,0,1,0.0
נָכוֹן,1,0,1.0
תּוֹצָאָה,1,0,1.0
עִקְּשוּת,1,0,1.0
לָזוּת,1,0,1.0
נָכְרִי,0,2,0.0
מוֹרֶה,0,1,0.0
פֶּלֶג,3,0,1.0
אַיָּלָה,1,0,1.0
אַהֵב,0,1,0.0
יַעֲלָה,1,0,1.0
חֹק,1,1,0.5
אִוֶּלֶת,3,2,0.6
חִבּק,1,0,1.0
אָוֶן,0,9,0.0
עִקְשוּת,1,0,1.0
לָשוֹן,8,6,0.5714285714285714
מַחְשָבָה,5,0,1.0
תּוֹכַחַת,1,1,0.5
כִּכָּר,1,0,1.0
הוֹן,1,0,1.0
נָקָם,0,1,0.0
כְּפָר,0,1,0.0
חַלּוֹן,1,0,1.0
שִית,1,0,1.0
נָצוּר,1,0,1.0
שָלֵם,0,1,0.0
אֵטוּן,1,0,1.0
צְרוֹר,1,0,1.0
כִּסֵּא,2,2,0.5
רֹב,15,0,1.0
לֶקַח,0,1,0.0
אֱוִיל,1,3,0.25
חֶדֶר,2,1,0.6666666666666666
מָרוֹם,1,2,0.3333333333333333
נָתִיב,2,2,0.5
מִפְתָּח,1,0,1.0
מֹצֵא,3,0,1.0
מְזִמָּה,0,3,0.0
שֹפֶט,1,0,1.0
מִפְעָל,0,1,0.0
נִכְבָּד,1,0,1.0
מַיִּם,0,3,0.0
תֵּבֵל,1,1,0.5
תְּהוֹם,0,1,0.0
גַּף,2,0,1.0
קֶרֶת,0,2,0.0
תְּחִלָּה,1,0,1.0
קָדוֹש,3,4,0.42857142857142855
כְּסִילוּת,0,1,0.0
עֹבֵר,3,0,1.0
סֵתֶר,4,2,0.6666666666666666
עֶמֶק,1,0,1.0
תּוּגָה,1,0,1.0
אוֹצָר,1,0,1.0
הַוָּה,2,1,0.6666666666666666
רְמִיָּה,0,4,0.0
חָרוּץ,0,3,0.0
מָקוֹר,4,0,1.0
נָבוֹן,0,1,0.0
גֵו,2,0,1.0
קִרְיָה,2,0,1.0
מְחִתָּה,2,0,1.0
דַּל,1,3,0.25
פְּעֻלָּה,4,0,1.0
תְּבוּנָה,0,3,0.0
מְגוֹרָה,1,0,1.0
תַּאֲוָה,7,0,1.0
תּוֹחֶלֶת,3,0,1.0
תִּקְוָה,2,0,1.0
פֹּעֵל,2,1,0.6666666666666666
אָוֵן,0,1,0.0
פֶּה,3,1,0.75
מֹאזְנַיִם,2,0,1.0
מִרְמָה,0,6,0.0
תֻּמָּה,1,0,1.0
סֶלֶף,1,0,1.0
בֹּגֶד,0,1,0.0
תָּמִים,0,1,0.0
בֹּגֵד,1,3,0.25
טוּב,6,1,0.8571428571428571
חֶסֶד,5,6,0.45454545454545453
שֶכֶר,1,0,1.0
אֱמֶת,2,7,0.2222222222222222
עִקֵּש,1,0,1.0
תָּמִים,1,1,0.5
נֶזֶם,1,0,1.0
זָהָב,1,3,0.25
חֲזִיר,0,1,0.0
סָר,1,0,1.0
טַעַם,0,3,0.0
שֹרֶש,1,0,1.0
אִשִּה,1,0,1.0
תַּחְבֻּלָּה,1,0,1.0
נַעֲוֵה,1,0,1.0
רַחֲמִים,1,1,0.5
מָצוֹד,1,0,1.0
פֶּשַע,3,5,0.375
גְּמוּל,2,0,1.0
מַדְקֵרָה,1,0,1.0
חֹרֵש,2,1,0.6666666666666666
יֹעֵץ,1,0,1.0
עֹשֶה,7,0,1.0
כֹּפֶר,2,0,1.0
נֵר,2,0,1.0
מְמֻשָּךְ,0,1,0.0
יָרֵא,3,2,0.6
מוֹקֵש,5,0,1.0
חֹטֵא,0,1,0.0
נִיר,1,0,1.0
שֹבַע,1,0,1.0
נָלוֹז,1,0,1.0
חֹטֶר,1,0,1.0
אֵבוּס,1,0,1.0
בַּר,3,2,0.6
כֹח,1,0,1.0
עָרוּם,0,1,0.0
כְּסִיל,0,3,0.0
מָרָה,1,0,1.0
קָצָר,2,0,1.0
שָעָר,5,2,0.7142857142857143
אֹהֵב,6,1,0.8571428571428571
עָשִיר,1,1,0.5
מִבְטָח,4,1,0.8
הֲדָרָה,2,0,1.0
לְאֹם,0,4,0.0
רָזוֹן,0,1,0.0
אֶרֶךְ,1,0,1.0
מַרְפֵּא,1,1,0.5
רָקָב,1,0,1.0
עֶצֶם,1,1,0.5
מַעֲנֶה,3,0,1.0
עֶצֶב,0,1,0.0
חַיּים,0,1,0.0
תְּפִלָּה,5,1,0.8333333333333334
עַצֶּבֶת,1,0,1.0
אֲרֻחָה,1,0,1.0
יָרָק,0,1,0.0
מְשֻכָה,1,0,1.0
חֵדֶק,0,1,0.0
בָּיִת,2,0,1.0
גֵּאֶה,0,1,0.0
שֹמֵעַ,2,0,1.0
תּוֹכֵחָה,0,1,0.0
מַעֲרָךְ,1,0,1.0
דֶרֶךְ,1,0,1.0
גָּבֹהַּ,1,0,1.0
כִּיס,0,1,0.0
מַלְאָךְ,2,1,0.6666666666666666
עָב,2,0,1.0
מַלְקוֹש,0,1,0.0
מְסִלָּה,1,0,1.0
גֹּבַהּ,2,0,1.0
שֶכֶל,3,0,1.0
צוּף,1,1,0.5
לֹכֵד,1,0,1.0
אָוֶּן,0,1,0.0
מָדוֹן,0,3,0.0
אַיִן,0,1,0.0
נָבָל,0,2,0.0
מֵבִין,0,1,0.0
קַר,1,0,1.0
אֹטֵם,1,0,1.0
רֶשָע,0,2,0.0
נִרְגָּן,0,1,0.0
מַשְחִית,0,1,0.0
מִגְדָּל,1,0,1.0
מַתָּן,1,1,0.5
בָּרִיחַ,1,0,1.0
אַרְמוֹן,0,1,0.0
נָדִיב,1,1,0.5
רָש,0,1,0.0
מִרְדָּף,2,0,1.0
זַעַף,1,0,1.0
מִדְיָן,1,0,1.0
בֹּזֶה,1,0,1.0
מַלְוֶה,1,0,1.0
כָּזָב,0,5,0.0
דֵּעָה,1,1,0.5
גֵּו,1,0,1.0
אֵימָה,2,0,1.0
דִּין,5,1,0.8333333333333334
שְבַע,1,0,1.0
פְּנִינָה,0,1,0.0
יָקָר,0,1,0.0
חֹשֶךְ,0,2,0.0
מִצְעָד,1,0,1.0
נְשָמָה,3,0,1.0
בָּחוּר,1,1,0.5
הָדָר,4,1,0.8
חֲבוּרָה,1,0,1.0
פֶּצַע,1,1,0.5
מַכָּה,2,0,1.0
רָחָב,1,0,1.0
מְבַקֵּש,5,0,1.0
שֵד,1,0,1.0
גָּג,0,3,0.0
מִדְיָּן,0,1,0.0
חֶבֶר,0,1,0.0
זְעָקָה,1,0,1.0
עֶבְרָה,2,1,0.6666666666666666
זָדוֹן,0,1,0.0
עָצֵל,0,1,0.0
עָשָה,1,0,1.0
טָהוֹר,1,0,1.0
זֵר,0,1,0.0
זָעוּם,1,0,1.0
קֹשְטְ,2,0,1.0
תֹּקֵעַ,1,0,1.0
מִלָּה,0,1,0.0
סֹבֵא,1,0,1.0
זֹלֵל,1,0,1.0
חַכְלִילוּת,1,0,1.0
חִבֵּל,0,1,0.0
זִמָּה,1,0,1.0
צָרָה,2,2,0.5
פִּיד,1,0,1.0
שְנַיִם,0,2,0.0
חִנָּם,0,2,0.0
גָּדֵר,1,0,1.0
חִבֻּק,1,0,1.0
חִזְקִיָּה,0,1,0.0
כָּבוֹד,1,0,1.0
כָּבוֹד,7,7,0.5
תַּפּוּח,1,0,1.0
מַשְכִּית,2,0,1.0
חֲלִי,1,0,1.0
כֶּתֶם,1,1,0.5
צִנָּה,1,0,1.0
שֶלֶג,0,1,0.0
קָצִיר,0,1,0.0
מַתָּת,1,0,1.0
קָרָה,0,1,0.0
צָפוֹן,0,2,0.0
פִּנָּה,1,0,1.0
חָבֵר,0,1,0.0
מֶרְחָק,0,1,0.0
חֵקֶר,1,0,1.0
פָּרוּץ,0,1,0.0
שִכּוֹר,0,1,0.0
מֵשִיב,2,0,1.0
נִרְגָּן,0,1,0.0
סִיג,0,1,0.0
כֹּבֶד,1,0,1.0
נֶטֶל,1,0,1.0
אַכְזָרִיּוּת,1,0,1.0
שֶטֶף,2,0,1.0
נְשִיקָה,1,0,1.0
שֹנֵא,3,1,0.75
מָתֵק,1,0,1.0
רֵעֶה,1,0,1.0
אִיד,0,1,0.0
סַגְרִיר,0,1,0.0
יָמִין,4,4,0.5
עֵשֶב,2,0,1.0
עֹזֵב,1,0,1.0
מַעֲשַקּוֹת,0,1,0.0
בֵּצַע,0,1,0.0
רֵיק,0,1,0.0
פַּת,1,0,1.0
לָצוֹן,0,1,0.0
דָם,0,1,0.0
תֹּךְ,0,1,0.0
עַיִּן,1,0,1.0
גֵּאוּת,1,0,1.0
שָפָל,1,0,1.0
חֲרָדָה,1,0,1.0
מֹשֵל,0,1,0.0
אָגוּר,0,1,0.0
נְאוּם,1,0,1.0
אִמְרָה,3,0,1.0
אֱלוֹהַ,1,2,0.3333333333333333
חוֹק,1,1,0.5
עֹצֶר,3,0,1.0
רַחַם,0,1,0.0
יִקָהָה,1,0,1.0
עֹרֵב,1,1,0.5
נֶשֶר,0,2,0.0
נָחָש,0,2,0.0
אֳנִיָּה,2,1,0.6666666666666666
קָטָן,1,0,1.0
הֵיכָל,3,2,0.6
מֵיטִיב,2,0,1.0
צָעָד,0,1,0.0
לֶכֶת,0,1,0.0
זַרְזִיר,1,0,1.0
מָתְנַיִם,0,1,0.0
מִיץ,2,0,1.0
לְמוּאֵל,0,1,0.0
מַשָּא,0,1,0.0
עֳנִי,0,2,0.0
מַר,1,0,1.0
חֵפֶץ,1,1,0.5
סֹחֵר,0,1,0.0
הֲלִיכָה,2,0,1.0
עַצְלוּת,0,1,0.0
מוֹשָב,1,1,0.5
לֵץ,0,1,0.0
עֵדָה,6,3,0.6666666666666666
יֹצֵר,0,1,0.0
