edge_name,weight
ַעֵר (-) לָלֲעַמ,1
הָכָלְמַמ (-) ץֶרֶא,2
ףֹוע (-) םִיַמָש,3
הָמֵהְּב (-) ץֶרֶא,1
ןיִחְש (-) םִיַרְצִמ,1
ןֹוהָּמִּת (-) בָבֵל,1
לֵא (-) דָי,2
הֶאְרַמ (-) ןִיַע,2
בֹוט (-) בָבֵל,1
בַר (-) לֹּכ,1
רֶסֹח (-) לֹּכ,1
לֹע (-) לֵזְרַּב,1
זֹע (-) הֶנָּפ,1
רָשָּב (-) ןֵּב,2
רָשָּב (-) תַּב,1
רֶתֶי (-) ןֵּב,1
שיִא (-) קיֵח,1
רֵסָח (-) לֹּכ,1
הֵּכַמ (-) לֹודָּג,1
הֵּכַמ (-) ןָמֱאֶנ,1
הֵּכַּמ (-) עַרֶז,1
רֶפֵס (-) הָרֹוּת,3
ןֹויָּלִּכ (-) ןִיַע,1
ןובָאֵּד (-) שֶפֶנ,1
דַחַּפ (-) בָבֵל,1
רָבָּד (-) תיִרְּב,2
טֶבֶש (-) יִּשַנְמ,1
בֵטֹח (-) ץֵע,1
בֵאֹש (-) םִיַמ,1
םיִהֹלֱא (-) יֹוג,1
רָבָּד (-) הָלָא,1
תּורִרְש (-) בֵל,1
טֶבֶש (-) לֵאָרְשִי,2
הָלָא (-) תיִרְּב,1
הֵּכַמ (-) ץֶרֶא,1
הָכֵּפֲהַמ (-) םֹדְס,1
הָכֵּפֲהַמ (-) הָרֹמֲע,1
יִרֳח (-) ףַא,1
בָבֵל (-) עַרֶז,1
רֶבֵע (-) םָי,1
ְךֶרֹא (-) םֹוי,5
ןֵּב (-) הָאֵמ,2
ןֵּב (-) םיִרְשֶע,2
ןִיַע (-) לֵאָרְשִי,2
ןֹורָא (-) תיִרְּב,1
ןֹורָא (-) הָוֹהְי,1
ץֵק (-) עַבֶש,1
דֵעֹמ (-) הָנָש,2
דֵעֹמ (-) הָּטִמְש,2
לֶהֹא (-) דֵעֹומ,2
דּוּמַע (-) ןָנָע,2
חַתֶּפ (-) לֶהֹא,1
םיִהֹלֱא (-) רָכֵנ,1
םיִהֹלֱא (-) ץֶרֶא,1
אֵשֹנ (-) ןֹורֲא,1
אֵשֹנ (-) תיִרְּב,1
אֵשֹנ (-) הָוֹהְי,1
ןֹורֲא (-) תיִרְּב,1
ןֵקָז (-) טֶבֶש,1
