node_name,regen,rectum,regen/total
מָבוֹא,5,0,1.0
חֹדֶש,0,1,0.0
מִפְתָּח,1,0,1.0
יָרֵחַ,0,1,0.0
תְּקוּפָה,4,0,1.0
קָצִיר,0,1,0.0
זֶרַע,0,1,0.0
דֶּשֶא,0,1,0.0
שָבוּעַ,0,1,0.0
דְּרוֹר,0,1,0.0
פְּרִי,6,2,0.75
תְּהִלָּה,0,2,0.0
מָנָה,1,0,1.0
כִּנּוֹר,4,0,1.0
נֵבֶל,0,1,0.0
חָלִיל,2,0,1.0
קַו,3,0,1.0
מוֹצָא,6,1,0.8571428571428570
עֶרֶב,0,1,0.0
בֹּקֶר,0,1,0.0
טוּב,2,2,0.5
תִּפְאֶרֶת,1,0,1.0
רֶגֶל,1,3,0.25
אַבְרֵךְ,0,1,0.0
מִשְכָּב,2,0,1.0
יְצוּעַ,0,1,0.0
מַעֲרֶכֶת,1,0,1.0
עֶדֶן,2,2,0.5
תְּנוּבָה,0,2,0.0
פַּחַד,3,1,0.75
אֵימָה,0,1,0.0
מָכוֹן,3,2,0.6
חַי,0,2,0.0
חָָמָס,0,1,0.0
שָב,1,0,1.0
סֹרֵר,1,0,1.0
כַּחַש,1,0,1.0
תּוּשִיָּה,0,1,0.0
מִשְפָּט,1,0,1.0
עֹז,0,9,0.0
תֹּעֶה,2,0,1.0
בִּינָה,0,7,0.0
רָם,1,0,1.0
מַטֶּה,0,1,0.0
שֹלֵח,1,0,1.0
אֶצְבַּע,0,1,0.0
מְדַבֵּר,1,0,1.0
אָוֶן,0,3,0.0
מַקְנֶה,1,0,1.0
ישור,1,0,1.0
אוֹרָה,1,0,1.0
נִהְיֶה,0,2,0.0
מִשְעָן,1,0,1.0
יָמִין,1,3,0.25
סֶלַע,3,0,1.0
פַּעַם,0,2,0.0
מִשְעֶנֶת,1,0,1.0
מְזִמָּה,3,0,1.0
מִקְוֶה,4,0,1.0
מַעְיָן,7,0,1.0
אֲחֻזָּה,2,0,1.0
גוֹרָל,1,0,1.0
מַבְנִית,0,2,0.0
נעויה,1,0,1.0
רִמָּה,0,1,0.0
אֱנוֹש,4,8,0.3333333333333330
עֶבֶד,1,6,0.14285714285714300
עֶמֶק,1,0,1.0
כֹּח,1,2,0.3333333333333330
רִמָּה,0,1,0.0
אַחֲרִית,1,0,1.0
עַם,3,4,0.42857142857142900
צָבָא,6,3,0.6666666666666670
הָגוּי,0,2,0.0
עֶשְרִים,0,1,0.0
זָכָר,0,1,0.0
משמע,1,0,1.0
חָמֵש,0,1,0.0
שְלוֹשִים,0,1,0.0
מֵאָה,0,1,0.0
חֲמִשִּים,0,1,0.0
פֶּתִי,0,1,0.0
מַס,0,1,0.0
לֵוִי,0,1,0.0
מִסְפָּר,3,1,0.75
מִלְחָמָה,4,5,0.4444444444444440
חַיִל,1,1,0.5
אֶלֶף,0,1,0.0
מַחְלֹקֶת,1,0,1.0
שֵם,1,3,0.25
קָרִיא,1,0,1.0
קֹדֵש,0,2,0.0
שֻלְחָן,1,0,1.0
שִפְלָה,1,0,1.0
הַר,0,2,0.0
מַעֲנֶה,1,0,1.0
אָרֹךְ,1,0,1.0
כֹּחַ,3,3,0.5
חֵקֶר,1,0,1.0
קֶדֶם,1,1,0.5
רַע,0,1,0.0
רָקִיעַ,1,1,0.5
נהיה,1,3,0.25
יָלוּד,1,1,0.5
אִשָּה,2,2,0.5
מִבְנֶה,3,0,1.0
עָפָר,0,9,0.0
מִגְבָּל,1,0,1.0
עֶרְוָה,1,2,0.3333333333333330
קָלוֹן,0,1,0.0
מְבַקֵּש,1,0,1.0
אֹהֵב,2,0,1.0
עָנָו,1,1,0.5
מְזֻקָּק,1,0,1.0
עָנִי,0,2,0.0
בָּרוּר,1,0,1.0
דּוֹר,2,0,1.0
חָזוֹן,2,1,0.6666666666666670
פֹּעֵל,1,0,1.0
סוֹדֹ,0,1,0.0
גָּדוֹל,4,0,1.0
כָּנָף,1,1,0.5
הָמוֹן,7,1,0.875
הֲרֵגָה,0,1,0.0
מְלֹא,2,0,1.0
אֶרֶץ,1,5,0.16666666666666700
עֲלִילִיָּה,0,1,0.0
צָדִיק,0,1,0.0
מִצְוָה,0,1,0.0
אוֹצָר,1,0,1.0
דוֹר,0,1,0.0
יֵצֶר,12,3,0.8
חֵמָר,0,2,0.0
כּוּר,3,0,1.0
חַטָּאָה,0,1,0.0
תּוֹעָה,0,1,0.0
חֶרֶת,1,0,1.0
זִכָּרוֹן,1,2,0.3333333333333330
עוָֹלם,0,1,0.0
מַבָּע,2,0,1.0
שִיחַ,1,0,1.0
סָמוּךְ,0,2,0.0
אֱוִיל,1,0,1.0
מוֹכִיחַ,2,0,1.0
מַחַץ,2,0,1.0
מַכָּה,0,1,0.0
מַשְמִיעַ,1,0,1.0
עָרוֹל,1,0,1.0
אֹמֶץ,1,0,1.0
גְּבוּל,2,0,1.0
נִמְהָר,1,0,1.0
יָשָר,1,0,1.0
רָשָע,1,3,0.25
עָרִיץ,0,1,0.0
קְהִלָּה,1,0,1.0
נַחְשוֹל,1,0,1.0
יָם,0,5,0.0
מֵלִיץ,4,1,0.8
מוּסָר,0,1,0.0
חוֹזֵה,1,0,1.0
נְכֹחָה,0,1,0.0
חֶלְקָה,0,2,0.0
קוֹל,5,2,0.7142857142857140
צְרוֹר,1,0,1.0
מוֹקְש,1,0,1.0
שַוְא,0,2,0.0
כְּלִי,1,0,1.0
לְהוֹב,1,0,1.0
חֲנִית,0,1,0.0
מַיִּם,0,2,0.0
שָאוֹן,2,0,1.0
כָּזָב,0,3,0.0
רָש,0,1,0.0
חָזָק,0,1,0.0
הֹוָה,4,3,0.5714285714285710
מְצוֹלָה,1,0,1.0
עִיר,2,0,1.0
מִבְצָר,0,1,0.0
לֵדָה,0,1,0.0
נִמְרָץ,0,1,0.0
הָרִיָּה,3,1,0.75
מַשְבֵּר,3,0,1.0
מָוֶת,0,3,0.0
שְאוֹל,0,2,0.0
מֶרֶץ,0,1,0.0
אֶפְעָה,0,3,0.0
פַּלָּצוּת,0,1,0.0
אוֹש,5,0,1.0
קִיר,0,1,0.0
יֹשֵב,2,0,1.0
יֹרֵד,2,0,1.0
נָבוֹךְ,1,0,1.0
דֶּלֶת,2,0,1.0
בָּרִיחַ,3,0,1.0
קָדוֹש,1,4,0.2
אֶבְיוֹן,1,1,0.5
מְהוּמָה,1,1,0.5
מַדְהֵבָה,0,1,0.0
פַּח,2,1,0.6666666666666670
מְצוּדָה,1,0,1.0
מִכְמֹרֶת,1,1,0.5
חֵלְכָה,0,2,0.0
מַתָּךְ,1,0,1.0
חֵמָה,2,1,0.6666666666666670
חָרוֹן,0,1,0.0
נַחַל,4,0,1.0
אֲגַף,1,0,1.0
שָבִיב,2,0,1.0
לָהוֹב,0,1,0.0
רִקֻּעַ,1,0,1.0
יַבָּשָה,0,1,0.0
זֶפֶת,0,1,0.0
מְחַשֵּךְ,1,0,1.0
תְּהוֹם,0,1,0.0
גֹּרֵש,2,0,1.0
רֶפֶש,0,1,0.0
גִּבּוֹר,3,4,0.42857142857142900
חוֹזֶה,2,0,1.0
זִמָּה,2,0,1.0
נָבִיא,1,0,1.0
פֹּתֶה,1,0,1.0
לֹעֵג,1,0,1.0
מִרְמָה,0,1,0.0
כּוֹחַ,1,0,1.0
שֹבֵר,2,0,1.0
עֶצֶם,0,2,0.0
אַדִּיר,0,1,0.0
שֹתֶה,2,0,1.0
דַּם,0,1,0.0
גִּבוֹר,0,1,0.0
פֹּרֵש,1,0,1.0
כְּפִיר,0,1,0.0
תַּנִּין,0,1,0.0
רִנָּה,1,2,0.3333333333333330
אַרְיֵה,0,1,0.0
ַעַם,0,1,0.0
טאטאי,1,0,1.0
נִמְהַר,1,0,1.0
נִצְמָד,1,0,1.0
תַּנּין,0,1,0.0
זֹחֵל,1,0,1.0
צִיר,1,0,1.0
יֹלֵד,0,1,0.0
מָאוֹר,2,1,0.6666666666666670
אֲנָחָה,0,2,0.0
בַּעַל,6,0,1.0
מְדָן,0,1,0.0
חוֹמה,1,0,1.0
בַּרְזֵל,0,1,0.0
שָוְא,0,1,0.0
חָמָס,0,1,0.0
עֹזֵב,1,0,1.0
חַטַּאה,0,1,0.0
מַמְלָכָה,0,1,0.0
מִצְעָר,1,0,1.0
מִחְיָה,0,1,0.0
סְלִיחָה,0,1,0.0
עֱפִי,2,0,1.0
נָהָר,1,1,0.5
נֹגַהּ,0,1,0.0
זַעַף,1,0,1.0
עִוְעִים,0,1,0.0
שַעַר,2,0,1.0
מָצוֹר,0,1,0.0
מִשְקֹלֶת,2,0,1.0
אֶבֶן,1,1,0.5
חֵן,0,1,0.0
מָגֵן,0,1,0.0
חֶרֶב,1,0,1.0
שֹכֵב,1,0,1.0
תּוֹלַעַת,1,0,1.0
מֵת,0,1,0.0
זֵד,0,1,0.0
הֱיוֹת,0,1,0.0
מִגְדָּל,1,0,1.0
נְתִיבָה,2,0,1.0
שְבִיל,3,0,1.0
מַחֲסֶה,1,0,1.0
מוֹפֵת,0,1,0.0
חֵיק,1,2,0.3333333333333330
אֹמֵן,0,1,0.0
שְאֵרִית,2,0,1.0
שֶבַע,0,1,0.0
נַעֲוֶה,1,0,1.0
תֹּהוּ,0,1,0.0
נֶעֱלָם,0,2,0.0
מַבּוּע,1,0,1.0
צִיָּה,0,1,0.0
גַּן,0,1,0.0
מַטָּע,3,0,1.0
בְּרוֹש,0,1,0.0
עֵץ,4,1,0.8
נֶצֶר,2,0,1.0
עָלֶה,0,1,0.0
חַיָּה,1,0,1.0
יַעַר,0,1,0.0
עוֹף,1,0,1.0
לַהַט,1,0,1.0
בּוּז,1,0,1.0
יוֹרֶה,1,0,1.0
גֶּשֶם,0,1,0.0
מַבּוּעַ,1,0,1.0
מַבּוּל,0,1,0.0
נָכוֹן,0,2,0.0
שֶמֶש,0,1,0.0
פְּאֵרָה,1,0,1.0
צוּר,1,0,1.0
חַלָּמִיש,0,1,0.0
חֹם,0,1,0.0
בָּאֻש,0,1,0.0
מָעוֹז,1,0,1.0
מָתְנִַים,0,1,0.0
זֵק,2,0,1.0
מְבַלֵּעַ,1,0,1.0
בֹּשֶת,2,0,1.0
פֹּנֶה,0,1,0.0
מַרְפֵּא,1,0,1.0
בּוֹז,1,0,1.0
צַר,0,1,0.0
כְּלִיל,1,0,1.0
מַכָּה,0,1,0.0
גְבוּרָה,1,0,1.0
שֵד,1,0,1.0
הֹרֵה,0,1,0.0
תּוֹכַחַת,1,0,1.0
מִשְמָר,2,0,1.0
פֶּלֶט,1,0,1.0
מֶלֶךְ,1,0,1.0
נִכְבָּד,0,1,0.0
דָּגָן,0,1,0.0
יִצְהָר,0,1,0.0
פֶּלֶג,1,0,1.0
חֶדֶר,1,0,1.0
שְּאוֹל,0,1,0.0
כֹּחַ,1,2,0.3333333333333330
הֲגִי,1,0,1.0
הוֹדָה,0,1,0.0
מַזָּל,1,0,1.0
תְּשוּבָה,2,0,1.0
יֹגוֹן,1,0,1.0
קִינָה,0,1,0.0
מִסְּפֵּד,1,0,1.0
נֶבֶל,1,0,1.0
אֹהֵל,1,0,1.0
תְּקוּפָה,1,0,1.0
הֵאָסֵף,0,1,0.0
מוֹלָד,4,0,1.0
שְמָמָה,0,1,0.0
מָדוֹר,1,0,1.0
עָרֵל,1,0,1.0
אורתום,0,1,0.0
מטון,1,0,1.0
אֶפֶר,0,1,0.0
סַעַר,1,1,0.5
חֶפֶץ,1,4,0.2
צַמִּים,1,0,1.0
רְמִיָּה,0,1,0.0
שְמוּעָה,1,0,1.0
שֹמֵעַ,0,1,0.0
תְּשוּבָה,1,0,1.0
נִתְעָב,0,1,0.0
עֲבֹת,1,0,1.0
רָמָה,1,0,1.0
תְּעוּדָה,0,1,0.0
אֲדָמָה,0,3,0.0
מכורה,0,1,0.0
תכין,0,1,0.0
רָֹז,1,0,1.0
מַחְסוֹר,2,0,1.0
רוּחֲ,1,0,1.0
אוֹטוֹ,0,1,0.0
בְּכוֹר,0,1,0.0
שֹרֶש,2,0,1.0
הוֹרֶה,0,1,0.0
רֳז,1,0,1.0
עֵזֶר,1,0,1.0
אִשָּׁה,1,0,1.0
שְאָר,1,0,1.0
אִסָּר,0,1,0.0
פְּקֻדָּה,1,0,1.0
כֹּשֶר,1,0,1.0
מְבִינָה,0,1,0.0
נִסְתָּר,1,0,1.0
שֵת,0,1,0.0
נָבוֹן,1,0,1.0
יֶשַע,0,1,0.0
מָחוֹז,1,0,1.0
אוטו,0,1,0.0
נִפְלָאָה,1,0,1.0
עָקֹב,1,0,1.0
אוט,1,2,0.3333333333333330
מַשְכִּיל,0,1,0.0
דֵּעָׁה,0,1,0.0
נֹחֵל,1,0,1.0
מַחְזִיק,1,0,1.0
פְּעֻלָּה,1,0,1.0
אֵיפָה,1,0,1.0
שִיר,1,0,1.0
עוֹֹלָם,0,1,0.0
הֹלֵךְ,1,0,1.0
חָכָם,1,0,1.0
כֹחַ,1,0,1.0
לֵץ,0,1,0.0
צֶמַח,1,0,1.0
מַעֲמַקִּים,1,0,1.0
שָנִים,0,1,0.0
חַוָּה,0,1,0.0
מַאֲכָל,1,0,1.0
שֵן,0,1,0.0
לָחוּם,1,0,1.0
רֶשֶף,0,1,0.0
מֹאזְנַיִם,1,0,1.0
סְפֹרוֹת,1,0,1.0
יָפֶה,1,0,1.0
מַרְאֶה,0,1,0.0
נֶגֶף,1,0,1.0
תְּשוּקָה,1,0,1.0
צֹאן,0,1,0.0
אָבֵל,1,0,1.0
שָדֶה,0,1,0.0
כַּרְמֵל,0,1,0.0
הֹרֶה,0,1,0.0
בֶּטֶן,0,1,0.0
בְּכוֹר,1,0,1.0
בְּהֵמָה,0,1,0.0
בֶּּטֶן,0,1,0.0
קֹרַח,0,1,0.0
נָשִיא,1,0,1.0
קַיִץ,0,1,0.0
אֲדָׁמָה,0,1,0.0
שֹפֵט,1,0,1.0
