best_loss,epoch,ari,nmi,jaccard,dasgupta,num_adjs,epochs,hidden_dim,latent_dim,distance,learning_rate,threshold,bert_model,adj_type,num_edges
10456.392578125,498,0.08058404267631604,0.05267699465882344,0.2755295614666325,0.8193163857968992,2,500,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & trigram,3807
16980.072265625,498,0.06628855378546746,0.054977963638504726,0.3003520442481878,0.8148142544958638,2,500,500,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf & trigram,3807
20481.837890625,498,0.014681403519282772,0.02975249352401608,0.3797704476933815,0.8144851553069401,2,500,500,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & BOW-n_gram,3807
6356.615234375,489,-0.0679330501955655,0.016604207895393384,0.15048024984595235,0.8128396593623219,2,500,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf & trigram,3807
17793.73046875,494,-0.05918396123934978,0.011922433521760192,0.10339827100865673,0.8123710329966067,2,500,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,trigram & BOW-n_gram,3807
20244.7578125,494,0.07573155516088785,0.07390383604009478,0.2988209495298364,0.8105103986565847,2,500,300,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & trigram,3807
6029.58544921875,498,-0.044063762807562086,0.00623232005674654,0.15725612159971966,0.8095492114386871,1,500,500,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,trigram,3807
19690.5078125,477,0.09245859868254987,0.06096979068725393,0.26581291947832913,0.8088330807242772,2,500,500,100,cosine,0.001,0.99,onlplab/alephbert-base,tfidf & trigram,3807
6373.1796875,489,-0.0679330501955655,0.016604207895393384,0.15048024984595235,0.8074960132757246,2,500,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,trigram & BOW-n_gram,3807
5989.24853515625,491,-0.06038205386539651,0.012655171188068585,0.15492757710090108,0.8064943006205132,2,500,500,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,trigram & BOW-n_gram,3807
17086.076171875,498,0.022521834856013927,0.043418677591610354,0.49662754678779836,0.8060477048616599,1,500,500,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,trigram,3807
5977.390625,491,0.04453068983259666,0.0389106132150672,0.3244224630073727,0.8049820762482691,2,500,500,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,tfidf & trigram,3807
12217.599609375,485,0.00593142943163247,0.025022217780386564,0.39928212705572597,0.8018934395628006,2,500,500,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram & BOW-n_gram,3807
14069.8310546875,485,-0.06481519954638229,0.015857089964921134,0.17127470939258824,0.8017841024768938,1,500,500,100,cosine,0.001,0.99,dicta-il/BEREL,trigram,3807
17730.0859375,494,-0.04391745619506676,0.005956046080943416,0.09813425600383022,0.8014890011380655,2,500,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf & trigram,3807
12356.84375,492,0.00245377283372502,0.011569518165026159,0.40871692877655735,0.8014865532928587,1,500,500,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,trigram,3807
14275.65234375,485,-0.0525135598252801,0.045670086537023785,0.3312914406854203,0.7983087062487398,2,500,500,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf & BOW-n_gram,3807
13894.7265625,485,-0.06383630508322667,0.018640518950785535,0.6251865774222529,0.7960327541719523,2,500,500,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf & trigram,3807
6438.0927734375,489,-0.06971365598062397,0.01800620097616836,0.15703001048466483,0.7945210737653096,1,500,300,100,cosine,0.001,0.99,yonatanlou/dictabert-finetuned-DSS-maskedLM,trigram,3807
10889.052734375,498,0.022395397317456493,0.033733877587893375,0.3647709337280124,0.7944155444386134,1,500,300,100,cosine,0.001,0.99,dicta-il/dictabert,BOW-n_gram,3807
12574.392578125,485,0.013963298891790264,0.015671239906118888,0.37321034359953525,0.793382825744115,2,500,500,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & BOW-n_gram,3807
17938.462890625,499,0.007274390904174818,0.023063445381271575,0.395739399019399,0.7906953636897724,1,500,500,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,BOW-n_gram,3807
15212.236328125,497,-0.04282448519524496,0.005652848384225859,0.09649983817488712,0.7905691636702183,2,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,tfidf & BOW-n_gram,3807
17898.453125,494,-0.052376151449212434,0.008685360174222837,0.13369047782171573,0.7905313580609121,1,500,300,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,trigram,3807
10658.05078125,482,0.13722516303176388,0.07560592107515023,0.2189637859944667,0.789977601078558,1,500,500,100,cosine,0.001,0.99,dicta-il/dictabert,BOW-n_gram,3807
10796.1337890625,497,-0.0413587878169907,0.005306151437316019,0.15074555367388376,0.7893468729635879,2,500,300,100,cosine,0.001,0.99,dicta-il/dictabert,tfidf & BOW-n_gram,3807
17714.30078125,499,0.0073124108953286455,0.020578874073957275,0.395194975844385,0.7878542313529986,2,500,500,100,cosine,0.001,0.99,yonatanlou/alephbert-base-finetuned-DSS-maskedLM,tfidf & BOW-n_gram,3807
13935.2421875,485,-0.06554112774015733,0.016509967769589663,0.17454532846901244,0.7868000260172399,2,500,500,100,cosine,0.001,0.99,dicta-il/BEREL,trigram & BOW-n_gram,3807
13468.37890625,497,0.0339195207689268,0.03660222526174278,0.3431320681761102,0.786425233717788,2,500,300,100,cosine,0.001,0.99,yonatanlou/BEREL-finetuned-DSS-maskedLM,tfidf & BOW-n_gram,3807
19699.51171875,477,-0.033129662685001365,0.003362645758108483,0.08342732034154332,0.7862889703346057,2,500,500,100,cosine,0.001,0.99,onlplab/alephbert-base,trigram & BOW-n_gram,3807
14827.134765625,497,-0.0470498219873279,0.006882859382470203,0.10303799036094152,0.7857915137920095,2,500,300,100,cosine,0.001,0.99,dicta-il/BEREL,trigram & BOW-n_gram,3807
